State_name,State_FIPS,Year,Total_population,Total_households,Female_population,Male_population,Median_age,Median_household_income_past_12m,Bachelor_degree,Master_degree,Professional_degree,Doctorate_degree,Num_employed,Num_unemployed,Labor_force,Avg_household_size,Median_value_owner_occupied_housing,Median_gross_rent,Households_no_internet,Households_internet_subscription,Households_solar_energy_fuel,Num_under_18,Num_18_to_34,Num_35_to_64,Num_65_more,Num_industry_agriculture_fishing_hunting
South Carolina,45,2012,4723723.0,1787340.0,2427942.0,2295781.0,38.3,43107.0,504036.0,212122.0,43582.0,31282.0,2007569.0,253703.0,2261272.0,2.57,135500.0,754.0,,,257.0,311258.0,118632.0,296374.0,111945.0,19384.0
South Dakota,46,2012,833354.0,323765.0,415551.0,417803.0,36.7,48362.0,98719.0,29714.0,7488.0,7030.0,426383.0,20915.0,447298.0,2.47,134300.0,651.0,,,275.0,58218.0,19365.0,48272.0,16401.0,28871.0
Tennessee,47,2012,6456243.0,2480090.0,3311487.0,3144756.0,38.2,42764.0,680286.0,257964.0,69299.0,45255.0,2823508.0,296484.0,3119992.0,2.54,137800.0,730.0,,,376.0,417055.0,139872.0,422324.0,149576.0,26684.0
Texas,48,2012,26059203.0,8970959.0,13113985.0,12945218.0,33.9,50740.0,2903294.0,1076580.0,240052.0,164154.0,11731417.0,1015391.0,12746808.0,2.84,129200.0,831.0,,,978.0,1986228.0,609136.0,1777548.0,465375.0,111100.0
Vermont,50,2012,626011.0,258520.0,316827.0,309184.0,42.4,52977.0,95120.0,42576.0,10145.0,7664.0,325960.0,22400.0,348360.0,2.32,216900.0,860.0,,,206.0,33247.0,17106.0,36479.0,16168.0,8252.0
Utah,49,2012,2855287.0,895691.0,1420259.0,1435028.0,29.9,57049.0,333947.0,119791.0,27527.0,23256.0,1312966.0,95806.0,1408772.0,3.14,199700.0,851.0,,,163.0,260766.0,65187.0,182671.0,42549.0,10830.0
Virginia,51,2012,8185867.0,3038967.0,4170822.0,4015045.0,37.5,61741.0,1132326.0,596854.0,133652.0,88672.0,3938818.0,294111.0,4232929.0,2.61,237800.0,1068.0,,,350.0,524641.0,190412.0,545420.0,172124.0,29368.0
Washington,53,2012,6897012.0,2636817.0,3455583.0,3441429.0,37.5,57573.0,944631.0,372069.0,91575.0,63240.0,3204090.0,306984.0,3511074.0,2.56,243000.0,954.0,,,514.0,449113.0,144880.0,465408.0,152383.0,85159.0
West Virginia,54,2012,1855413.0,741544.0,943732.0,911681.0,41.5,40196.0,147257.0,66360.0,18384.0,9683.0,752314.0,65787.0,818101.0,2.44,100400.0,607.0,,,239.0,105807.0,40675.0,115628.0,46701.0,5425.0
Wisconsin,55,2012,5726398.0,2288362.0,2883661.0,2842737.0,38.8,51059.0,688002.0,255462.0,61488.0,41201.0,2844814.0,223879.0,3068693.0,2.44,165200.0,743.0,,,584.0,365817.0,127054.0,352787.0,119299.0,65030.0
Wyoming,56,2012,576412.0,223513.0,283676.0,292736.0,36.9,54901.0,64409.0,20963.0,4466.0,4440.0,288852.0,17113.0,305965.0,2.52,187400.0,742.0,,,141.0,38243.0,13149.0,35588.0,12825.0,9113.0
Puerto Rico,72,2012,3667084.0,1263694.0,1909811.0,1757273.0,37.8,19429.0,428778.0,113029.0,27517.0,19781.0,1094779.0,229733.0,1324512.0,2.87,127300.0,448.0,,,8020.0,230966.0,89273.0,228225.0,83614.0,14402.0
Alabama,01,2013,4833722.0,1822439.0,2491853.0,2341869.0,38.3,42849.0,476016.0,202435.0,44899.0,33603.0,2010934.0,214268.0,2225202.0,2.59,122700.0,694.0,45801.0,1179510.0,134.0,303120.0,110747.0,292074.0,112122.0,23611.0
Alaska,02,2013,735132.0,246015.0,348728.0,386404.0,33.1,72237.0,84038.0,32966.0,7246.0,5163.0,352822.0,33687.0,386509.0,2.88,254000.0,1117.0,7367.0,196522.0,0.0,54418.0,20891.0,47185.0,14234.0,7110.0
Arizona,04,2013,6626624.0,2400809.0,3328538.0,3298086.0,36.8,48510.0,741982.0,319970.0,72087.0,54402.0,2791546.0,273610.0,3065156.0,2.7,166000.0,890.0,69930.0,1796805.0,5487.0,454289.0,143497.0,421107.0,157231.0,26482.0
